loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,cluster
0.7638974927455903,0.07679738562091502,0.6967871485943775,5.9593908629441615e-05,0.9878419452887538,0.31065989847715736,0.5157998037291462,46
0.7719670046623847,0.03769063180827886,0.21787148594377512,1.9086294416243656e-06,0.10840932117527863,0.7035532994923857,0.5843216972755736,16
0.7980176714159956,0.377995642701525,0.4548192771084338,6.436548223350253e-05,0.12563323201621074,0.9187817258883249,0.4378615823169307,21
0.6828111245150141,0.051307189542483665,0.8825301204819278,4.111675126903553e-05,0.3910840932117528,0.531979695431472,0.49909808869573347,0
0.6552280655994263,0.04139433551198257,0.9196787148594379,0.00034822335025380707,0.10536980749746708,0.40812182741116754,0.5651712696854994,35
0.6928368817449708,0.07069716775599129,0.9347389558232932,0.1563451776649746,0.10840932117527863,0.42944162436548217,0.6677181176690499,35
0.7528284046819471,0.0593681917211329,0.9668674698795181,0.42030456852791875,0.11347517730496455,0.6944162436548224,0.437081172017384,41
0.8033647419386392,0.4237472766884532,0.6987951807228916,5.695431472081218e-05,0.6818642350557245,0.899492385786802,0.45125940464507686,40
0.7914316455283492,0.04357298474945534,0.3995983935742972,0.07715736040609136,0.15501519756838905,0.650761421319797,0.7945791859432684,28
0.8481790616543314,0.04161220043572984,0.643574297188755,0.36345177664974615,0.14083080040526852,0.5441624365482234,0.46728819103696434,41
0.704411333181181,0.042483660130718956,0.8704819277108434,0.0016852791878172587,0.10638297872340426,0.39390862944162436,0.6043179587831208,35
0.8165856998467608,0.05795206971677559,0.6104417670682731,0.7045685279187817,0.1094224924012158,0.9106598984771573,0.38466750782746856,42
0.8216230315281536,0.07167755991285403,0.4889558232931727,0.0009238578680203045,0.4599797365754813,0.8284263959390862,0.41136501705687184,40
0.740324736721985,0.03453159041394335,0.8162650602409638,0.00015939086294416242,0.3323201621073962,0.8578680203045684,0.5366278798074676,33
0.7712660167585015,0.03398692810457516,0.1566265060240964,0.0021725888324873096,0.1894630192502533,0.9299492385786802,0.41425300247675123,6
0.8052883831632487,0.049237472766884526,0.5251004016064258,0.7360406091370557,0.14792299898682879,0.8944162436548223,0.444030094864246,42
0.7488017997456882,0.043137254901960784,0.9819277108433735,0.002,0.23708206686930094,0.15939086294416244,0.5189120986962008,11
0.7933226826644061,0.045206971677559916,0.893574297188755,0.0,0.3373860182370821,0.31675126903553297,0.5064348801345857,35
0.6640800756414855,0.0508714596949891,0.9668674698795181,0.914720812182741,0.10638297872340426,0.4446700507614213,0.37863918874713776,37
0.7358905806788172,0.04978213507625272,0.9759036144578314,0.898477157360406,0.13475177304964542,0.28426395939086296,0.4492452918360671,37
0.8267581754752046,0.1383442265795207,0.8353413654618473,0.0,0.12360688956433638,0.48121827411167506,0.6693817468105987,38
0.6564507189201526,0.052723311546840956,0.9407630522088355,0.932994923857868,0.0779128672745694,0.30862944162436545,0.42679564465629233,37
0.7175670829121972,0.03671023965141612,0.7379518072289157,0.0,0.1914893617021277,0.6964467005076143,0.8219916818542923,38
0.7950833034462521,0.06427015250544661,0.570281124497992,0.0,0.6838905775075989,0.8294416243654821,0.48910696761530914,40
0.7228489452577354,0.05773420479302832,0.8825301204819278,0.00031776649746192894,0.14184397163120568,0.5614213197969543,0.5629235010981821,0
0.5408855270450914,0.09466230936819173,0.9096385542168676,0.12284263959390862,0.7031408308004052,0.48121827411167506,0.6243936632552923,46
